ensembl_gene_id,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,hgnc_symbol,percentage_gc_content,gene.length,Study,Tissue,Direction,Model,Sex,Comparison
ENSG00000148468,0.166909558782103,0.113423952170805,0.2203951653934,7.70188619840147,6.12833203186878,1.58084031441406e-9,1.64217691861332e-6,11.35165567827,FAM171A1,44.98,3955,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000011426,0.5572336860734,0.376678771275572,0.737788600871227,5.83176454833675,6.06074555887954,2.35486363423483e-9,2.1584403028616e-6,10.9720734183396,ANLN,37.88,6012,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000136449,-0.330812431522596,-0.436658718518026,-0.224966144527166,1.82257747880767,-6.13767937166217,1.49563054301994e-9,1.64217691861332e-6,10.9593327716224,MYCBPAP,50.71,6515,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000131650,-0.410925787245182,-0.543702295148548,-0.278149279341816,2.59378512061306,-6.07771257142135,2.13141253982459e-9,2.07572938722167e-6,10.8429435676279,KREMEN2,67.36,2614,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000179029,-0.20353324672899,-0.269934264745194,-0.137132228712787,3.65969225546417,-6.01947515987043,2.99819141477476e-9,2.48271888230315e-6,10.6915101417626,TMEM107,49.51,3163,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000198429,0.297146542696101,0.200178279562394,0.394114805829808,2.86855201081213,6.01781827395713,3.02731733819534e-9,2.48271888230315e-6,10.5905947567884,ZNF69,43.23,2931,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000159335,0.282637024039841,0.189389451725012,0.375884596354669,8.9748590710295,5.952364552493,4.42732169114113e-9,3.44932632956805e-6,10.3724331173309,PTMS,61.84,1475,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000123144,0.111379969790503,0.0745647605667671,0.14819517901424,8.27312011541499,5.94124999198555,4.7208751895189e-9,3.50288939062302e-6,10.3146569713642,C19orf43,54.86,1402,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000154945,0.324325350609171,0.216742422301204,0.431908278917138,6.58666226467483,5.92018855436053,5.33010519483794e-9,3.72453555846188e-6,10.1957760421449,ANKRD40,44.45,4849,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000254858,-0.20953504985571,-0.279103771284254,-0.139966328427165,3.78526913752976,-5.91480814042835,5.49764586347216e-9,3.72453555846188e-6,10.1389380773403,MPV17L2,59.62,2135,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000188783,0.459072332538621,0.306280085408642,0.6118645796686,5.25636648506843,5.90035042188912,5.97369447334887e-9,3.76422459064192e-6,10.0902473497673,PRELP,50,5747,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000125534,-0.319090687599562,-0.425327406019089,-0.212853969180035,7.66189426927761,-5.89844435339391,6.03937971801104e-9,3.76422459064192e-6,10.0797655802548,PPDPF,71.07,1094,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000187699,0.214967604262552,0.142712193090712,0.287223015434392,3.27044272734278,5.84252586349329,8.31280484723269e-9,4.98192788959922e-6,9.70818819669259,C2orf88,37.45,5997,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000198624,0.300685292261138,0.199115807340782,0.402254777181494,4.43284964008302,5.81362399062442,9.79550314353829e-9,5.59877867679191e-6,9.62417667855738,CCDC69,45.82,4993,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000170759,0.310572301553362,0.205577887739915,0.415566715366809,8.55528454067595,5.80890843993585,1.00606984308929e-8,5.59877867679191e-6,9.59952164514144,KIF5B,37.58,5877,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000079462,0.210069788359197,0.13873785508473,0.281401721633665,5.73077462134454,5.78332511358887,1.16260068076464e-8,6.24677372678435e-6,9.45631763373422,PAFAH1B3,53.73,1419,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000180423,0.229882294541512,0.151662277838239,0.308102311244785,3.10623945504018,5.77145910735265,1.24302518510235e-8,6.45627281142161e-6,9.31090655924863,HARBI1,46.15,2662,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000134294,0.43796004254368,0.288515269100343,0.587404815987017,6.70316756535399,5.75508526311739,1.36295698549684e-8,6.85083733806831e-6,9.3056578508552,SLC38A2,38.54,6602,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000198185,-0.299176826411686,-0.401584557709784,-0.196769095113588,3.59859118125927,-5.73711043553335,1.50759597339484e-8,7.11859407801165e-6,9.1857221354093,ZNF334,40.56,6865,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000130522,0.220619064030636,0.144777307778664,0.296460820282608,8.72914926430214,5.71258480516333,1.7292762224268e-8,7.92517120525131e-6,9.08876144689479,JUND,69.67,1863,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000154864,0.507046445458761,0.333579982424634,0.680512908492888,2.29463809613802,5.74024227888839,1.48136242654611e-8,7.11859407801165e-6,9.04325575349186,PIEZO2,41.03,14796,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000105419,-0.341941481748562,-0.459670063103569,-0.224212900393555,5.82892045897476,-5.7038471968039,1.81567531485745e-8,8.08338650174539e-6,9.03295479736687,MEIS3,56.51,5122,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000119950,0.230166143962724,0.1506456518785,0.309686636046948,7.15246423430817,5.68408268593666,2.02689947230851e-8,8.5359858317598e-6,8.93063752945282,MXI1,40.13,4607,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000170791,-0.205444346168877,-0.276552252556246,-0.134336439781507,4.48419732709864,-5.67380369612688,2.1460164666714e-8,8.6955131334917e-6,8.88534939557667,CHCHD7,41.56,5866,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000184481,0.337995325563302,0.220943928254308,0.455046722872297,6.72577368854707,5.67064024127493,2.18402742464172e-8,8.6955131334917e-6,8.85937086589,FOXO4,52.26,3447,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000131374,0.102069458114785,0.0666743845550918,0.137464531674479,5.5001243371484,5.66305779357891,2.27782199862967e-8,8.6955131334917e-6,8.81989022927809,TBC1D5,37.62,11269,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000111181,0.426325248457048,0.278465570435046,0.57418492647905,5.2527886796952,5.66225340473053,2.28799922008189e-8,8.6955131334917e-6,8.81910065597835,SLC6A12,52.8,5280,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000247982,0.361981968089381,0.236946353822603,0.487017582356159,1.9791125498037,5.68527149478909,2.0135454376992e-8,8.5359858317598e-6,8.69743287950931,LINC00926,49.29,3669,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000116661,0.275839644666873,0.17954927883513,0.372130010498616,8.33516661251525,5.62563889713764,2.80115247800222e-8,1.03922756933882e-5,8.63293464351666,FBXO2,61.17,2333,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000105643,0.345150536562172,0.224432377155149,0.465868695969194,5.17394342399711,5.61479560966665,2.97351171879249e-8,1.05302862732329e-5,8.57145654072316,ARRDC2,58.01,4637,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000042062,0.423071815521562,0.275118803021169,0.571024828021955,3.3520687613117,5.61549811426932,2.96203934764778e-8,1.05302862732329e-5,8.55128835840603,FAM65C,51.6,6009,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000182310,0.308765665714798,0.200602556064642,0.416928775364954,4.94173014307573,5.60593219754962,3.12202195005756e-8,1.07386221658285e-5,8.52760586522767,SPACA6,51.41,3648,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000064102,0.169192687286205,0.109893650704828,0.228491723867581,4.51482965487527,5.60314620398303,3.17017468635677e-8,1.07386221658285e-5,8.5182737933339,ASUN,36.38,3345,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000251442,0.536985421128969,0.348497507851767,0.725473334406171,4.24822302730186,5.59470243187578,3.32056886393441e-8,1.1008745539963e-5,8.47404299014263,LINC01094,39.79,2951,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000149809,-0.23294961079666,-0.314789126090884,-0.151110095502436,5.47368903960529,-5.58980869051103,3.41088441346908e-8,1.1072583527224e-5,8.4385340030594,TM7SF2,60.18,3408,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000260788,0.658127073434701,0.426022668813997,0.890231478055404,3.43897790238271,5.56832247780343,3.83649188099445e-8,1.22000441815624e-5,8.31832314551503,ENSG00000260788,42.85,1833,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000204120,0.114638826515929,0.0740188129154694,0.155258840116388,5.04889546222255,5.54229542074736,4.42150742803603e-8,1.3249217066088e-5,8.19807366407196,GIGYF2,39.44,13416,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000134253,-0.282588635336837,-0.382671274991336,-0.182505995682337,3.43376353126325,-5.54490289294836,4.35919718687965e-8,1.3249217066088e-5,8.18978191650761,TRIM45,46.89,4368,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000051009,-0.209699078402923,-0.284240297214556,-0.13515785959129,5.04539022421748,-5.52456434447852,4.86877632634129e-8,1.42657048969838e-5,8.10870568906445,FAM160A2,44.55,4736,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000157833,0.509192737421716,0.328098820059391,0.690286654784041,4.85320017632713,5.5217449324675,4.94383304092622e-8,1.42657048969838e-5,8.09612060784168,GAREM2,58.42,5939,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000151552,0.461273971822348,0.297032910910354,0.625515032734342,9.32749126387804,5.51537710155388,5.11751412994498e-8,1.44983827586914e-5,8.06869339648156,QDPR,45.09,3059,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000163485,0.210079563637419,0.135225246881158,0.28493388039368,6.68705043300302,5.51143842745728,5.22789263086911e-8,1.45466112453933e-5,8.03082881343554,ADORA1,48.14,4191,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000145882,-0.412349748855892,-0.559415843065604,-0.26528365464618,3.99073294562432,-5.50618982746486,5.37858147615487e-8,1.47033432563939e-5,8.01631211793741,PCYOX1L,50.16,6069,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000166012,-0.185066420438893,-0.251248170401586,-0.118884670476201,4.97200766377679,-5.49145440844906,5.82454362659747e-8,1.54341510040463e-5,7.93939720970432,TAF1D,41.79,8420,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000249915,-0.14700341784491,-0.19957934602148,-0.0944274896683413,4.93071729066142,-5.4908361931282,5.84401815709619e-8,1.54341510040463e-5,7.93900123629267,PDCD6,50.84,9493,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000186834,0.243541182250568,0.156247815662087,0.330834548839049,6.7115289471089,5.47884697733186,6.23444294321776e-8,1.61908483235365e-5,7.86440719874085,HEXIM1,48.22,3600,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000105202,0.125299870473627,0.080344362015562,0.170255378931691,6.61434603787806,5.47350742994264,6.41636931271032e-8,1.63901420705987e-5,7.83691705227677,FBL,48.35,2182,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000132953,-0.133040321964505,-0.180874466707996,-0.0852061772210143,3.51857666000239,-5.46189413000024,6.83002883238329e-8,1.71654047203543e-5,7.77693762544206,XPO4,38.5,10500,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000079432,0.147014429977014,0.0939261777305238,0.200102682223503,5.81690544463239,5.43825465643552,7.75357694836126e-8,1.91771803189468e-5,7.65892359699922,CIC,61.52,9494,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000102974,0.138989770750293,0.0887630793992665,0.18921646210132,5.74405358433305,5.43433331363013,7.9180658943948e-8,1.92780160572593e-5,7.64018771720874,CTCF,45.32,4301,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000140795,-0.495520496042224,-0.670825341411767,-0.320215650672682,0.299427038417508,-5.55092943704198,4.21843006856039e-8,1.31463154656616e-5,7.49217134146791,MYLK3,46.75,9522,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000110492,-0.330095313941466,-0.450208258368531,-0.2099823695144,4.08369596593156,-5.39693950072521,9.66668343936875e-8,2.2822160810946e-5,7.47240727189119,MDK,66.26,2196,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000166535,0.370034239442815,0.235437074129689,0.504631404755941,3.16498728274229,5.39888406758699,9.56717257161137e-8,2.2822160810946e-5,7.45135791355953,A2ML1,44.25,7303,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000124214,0.0995360029626537,0.0632757965814415,0.135796209343866,6.93304745571921,5.39073433069671,9.99098746570364e-8,2.28940539250874e-5,7.41998103284552,STAU1,43.2,4094,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000171476,-0.261024626451652,-0.356112794611783,-0.165936458291522,6.63294733980246,-5.39079734594175,9.9876416132713e-8,2.28940539250874e-5,7.41910122570079,HOPX,42.94,7753,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000162065,-0.181077990242263,-0.247230998811978,-0.114924981672548,4.6774981264275,-5.37544062720276,1.08360121518101e-7,2.41209630499292e-5,7.36230892936377,TBC1D24,55.83,12213,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000111269,0.164490665818071,0.10418307913932599,0.224798252496816,6.66679900691953,5.3563298391313,1.19897820910104e-7,2.63133499355105e-5,7.24693753927139,CREBL2,40.66,3922,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000112541,-0.273489567052339,-0.373268709610078,-0.173710424494599,2.07952130684368,-5.3826854320927104,1.04274120678478e-7,2.35478166436528e-5,7.22411477095933,PDE10A,40.93,12348,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000188039,0.4906463549997,0.310305204636865,0.670987505362534,4.45534051122248,5.34283478845163,1.28753908437591e-7,2.74827863188293e-5,7.20078002703849,NWD1,48.08,8495,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000165175,0.342872555874162,0.216868240666209,0.468876871082114,6.92320829610766,5.34373988821064,1.28140606153963e-7,2.74827863188293e-5,7.1848595391669,MID1IP1,53.8,3790,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000020577,0.361298354278954,0.228085022348585,0.494511686209322,4.87924416298737,5.32618560191442,1.40556681987797e-7,2.92020562497847e-5,7.11108273477147,SAMD4A,43.1,12170,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000262445,0.388908762519796,0.245836419088929,0.531981105950662,2.64078512831706,5.33814100834266,1.31980388564529e-7,2.77907893866553e-5,7.07426281060271,ENSG00000262445,57.38,870,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000184903,-0.213407422532681,-0.292164119788487,-0.134650725276874,3.10274904082963,-5.32132800119735,1.44193584667334e-7,2.9563479424821e-5,7.06102871476184,IMMP2L,36.11,3411,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000086475,0.123751514828813,0.0780383277628749,0.169464701894752,5.30623337074967,5.31626996730061,1.48077471455808e-7,2.95813225669795e-5,7.05417120890509,SEPHS1,45.78,3888,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000142949,-0.141298264129261,-0.193487440662807,-0.0891090875957141,6.15018639019447,-5.31684972978762,1.47627197606984e-7,2.95813225669795e-5,7.04960806015919,PTPRF,55.69,10712,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000108349,0.20490575505617,0.129083742545836,0.280727767566503,7.10539217252722,5.30709488857629,1.55383094110471e-7,3.06478401573337e-5,7.0048333591332,CASC3,45.51,6380,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000053702,0.305021821648522,0.192021766304552,0.418021876992492,4.7538874236336,5.30090789343137,1.60505442282515e-7,3.1262447520577e-5,6.98990632771359,NRIP2,51.39,2803,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000105655,0.353111320771933,0.22211327693581,0.484109364608057,4.97517493425048,5.29352336953865,1.66833727410951e-7,3.20938659323141e-5,6.94777530458422,ISYNA1,66.58,3284,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000145832,0.471888081739476,0.295736902429769,0.648039261049183,3.60889396382395,5.26079595428369,1.97912466547219e-7,3.67127625445091e-5,6.80027038950947,SLC25A48,47.39,4966,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000104805,-0.11459313652531,-0.15734578125663,-0.0718404917939911,7.33440395263795,-5.26373024697362,1.94911496988394e-7,3.65916981454596e-5,6.7909915407946,NUCB1,52.81,3937,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000231312,-0.212998426952211,-0.292561741509539,-0.133435112394884,4.38856438720991,-5.25728514217545,2.01561906359843e-7,3.68394727542663e-5,6.78431705407878,ENSG00000231312,41.25,6741,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000101901,-0.126240357714567,-0.173411123577267,-0.0790695918518665,4.20842055368672,-5.25561196757668,2.03324005703177e-7,3.68394727542663e-5,6.77810220349606,ALG13,37.51,8188,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000205352,-0.177803340139265,-0.24431885966136,-0.11128782061717,5.68209916201774,-5.24946363547517,2.09928188115294e-7,3.7598862381753e-5,6.72021201892661,PRR13,48.6,2897,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000143772,0.419149280218847,0.262171681220325,0.576126879217369,7.75089488201614,5.24359386211291,2.16426769968426e-7,3.83222946550911e-5,6.70073518448161,ITPKB,49.82,7036,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000197322,-0.558739689831564,-0.766158311022562,-0.351321068640567,1.51108178122886,-5.29005007829047,1.6989320459942e-7,3.22838526105873e-5,6.67878477606022,C17orf102,49.4,3997,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000236609,0.175964523106256,0.109815034303655,0.242114011908856,5.59227344782939,5.22392133439608,2.39658802077803e-7,4.19591399323183e-5,6.59463594410393,ZNF853,57.53,3857,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000131095,0.359479739178598,0.224019487280065,0.494939991077131,12.240649556778,5.21147361037232,2.55587470893292e-7,4.28279268700151e-5,6.54986673143802,GFAP,56.17,6086,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000128833,-0.267602364550571,-0.368315738153187,-0.166888990947955,2.87617285506193,-5.21796073433791,2.47162468951598e-7,4.27920621244867e-5,6.54587464832545,MYO5C,45.57,10045,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000170275,0.194428290618365,0.121203193094862,0.267653388141868,6.44467435817077,5.21431787511555,2.51859863366877e-7,4.28279268700151e-5,6.54541977666729,CRTAP,44.28,6695,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000182700,0.127654665966597,0.079551250911161,0.175758081022033,7.19750392941538,5.21145254716774,2.5561527396428e-7,4.28279268700151e-5,6.53564588011974,IGIP,35.54,3458,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000134262,-0.160863554844123,-0.221699214919161,-0.100027894769085,4.49155705920777,-5.19275031883429,2.8149309533165e-7,4.55190965937139e-5,6.46931881832476,AP4B1,43.25,5369,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000167005,-0.136882751875005,-0.188609550918247,-0.0851559528317628,6.19789007260224,-5.1967416545848,2.7576586704747e-7,4.5231407792986e-5,6.46208847038425,NUDT21,39.54,5954,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000159176,0.344524428251426,0.214199310457437,0.474849546045415,8.22932790287637,5.19146461771199,2.83362364881931e-7,4.55190965937139e-5,6.45483245980549,CSRP1,50.68,10318,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000205959,-0.442300934409058,-0.61015175279552,-0.274450116022597,3.20937175534282,-5.17478603783476,3.08727376323359e-7,4.89833547486114e-5,6.3699823129498,ENSG00000205959,52.14,3374,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000010310,0.837971542304333,0.521906977491346,1.15403610711732,1.58450885124973,5.20656705332578,2.62143780087004e-7,4.34545146948479e-5,6.35070612917127,GIPR,54.94,4736,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000244038,-0.157764363532999,-0.217653184556011,-0.0978755425099858,6.1392009632599,-5.17322240739796,3.11214999365455e-7,4.89833547486114e-5,6.34875083540108,DDOST,50.61,2721,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000183196,0.451788687639039,0.279776549002649,0.623800826275428,3.61586420402699,5.15791594913972,3.36613534180497e-7,5.1422667545103e-5,6.30676340297271,CHST6,49.91,8469,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000183723,0.146162719652108,0.0905656567247422,0.201759782579474,6.32816570694579,5.16276990636818,3.28349495421861e-7,5.11634183766344e-5,6.2958007143749,CMTM4,45.26,8117,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000213563,0.148963013654819,0.0922261900590311,0.205699837250606,4.3576096641786,5.15598251119428,3.39961027337059e-7,5.142983231035e-5,6.29450768605496,C8orf82,67.88,3001,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000120594,0.216066767214128,0.133719253728401,0.298414280699855,4.2377616313228,5.15270747726289,3.45704946047117e-7,5.17959083587133e-5,6.28137560894358,PLXDC2,37.34,12567,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000021300,0.286916908170223,0.177285157538636,0.396548658801811,8.95436442780379,5.13946362930567,3.69905226381763e-7,5.3511506373576e-5,6.21454738669327,PLEKHB1,52.94,4933,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
